0.09, 4, white, Entry
0.00, 4, white, Exit
1.03, 4, white, Entry
1.00, 4, white, Exit
2.07, 4, white, Entry
2.00, 4, white, Exit
3.02, 4, white, Entry
3.00, 4, white, Exit
4.02, 4, white, Entry
4.00, 4, white, Exit
5.03, 4, white, Entry
5.36, 1, yellow, Entry
5.45, 1, orange, Entry
5.00, 4, white, Exit
6.01, 4, white, Entry
5.00, 1, yellow, Exit
6.09, 3, yellow, Entry
5.00, 1, orange, Exit
6.11, 3, orange, Entry
6.00, 4, white, Exit
7.07, 4, white, Entry
6.00, 3, yellow, Exit
7.16, 3, yellow, Entry
6.00, 3, orange, Exit
7.17, 3, orange, Entry
7.00, 3, orange, Exit
8.00, 3, orange, Entry
7.00, 4, white, Exit
8.03, 1, white, Entry
7.00, 3, yellow, Exit
8.12, 3, yellow, Entry
8.00, 3, yellow, Exit
9.09, 3, yellow, Entry
8.00, 3, orange, Exit
9.09, 3, orange, Entry
8.00, 1, white, Exit
9.12, 1, white, Entry
9.00, 1, white, Exit
10.03, 1, white, Entry
9.00, 3, yellow, Exit
10.12, 3, yellow, Entry
9.00, 3, orange, Exit
10.13, 3, orange, Entry
10.00, 3, orange, Exit
11.02, 3, orange, Entry
10.00, 1, white, Exit
11.04, 1, white, Entry
10.00, 3, yellow, Exit
11.11, 3, yellow, Entry
11.00, 3, yellow, Exit
12.06, 3, yellow, Entry
11.00, 3, orange, Exit
12.06, 3, orange, Entry
11.00, 1, white, Exit
12.09, 1, white, Entry
12.00, 3, yellow, Exit
13.04, 3, yellow, Entry
12.00, 3, orange, Exit
13.04, 3, orange, Entry
12.00, 1, white, Exit
13.07, 1, white, Entry
13.00, 3, yellow, Exit
14.01, 3, yellow, Entry
13.00, 3, orange, Exit
14.02, 3, orange, Entry
13.00, 1, white, Exit
14.05, 1, white, Entry
14.00, 1, white, Exit
15.02, 1, white, Entry
14.00, 3, yellow, Exit
15.09, 3, yellow, Entry
14.00, 3, orange, Exit
15.11, 3, orange, Entry
15.00, 3, yellow, Exit
16.20, 3, yellow, Entry
15.00, 3, orange, Exit
16.22, 3, orange, Entry
15.00, 1, white, Exit
16.24, 1, white, Entry
16.00, 3, yellow, Exit
17.08, 3, yellow, Entry
16.00, 3, orange, Exit
17.09, 3, orange, Entry
16.00, 1, white, Exit
17.12, 2, white, Entry
17.00, 3, orange, Exit
18.00, 3, orange, Entry
17.00, 2, white, Exit
18.03, 2, white, Entry
17.00, 3, yellow, Exit
18.11, 3, yellow, Entry
18.00, 2, white, Exit
19.00, 2, white, Entry
18.00, 3, yellow, Exit
19.08, 3, yellow, Entry
18.00, 3, orange, Exit
19.10, 3, orange, Entry
19.00, 3, yellow, Exit
20.01, 3, yellow, Entry
19.00, 3, orange, Exit
20.01, 3, orange, Entry
19.00, 2, white, Exit
20.04, 2, white, Entry
20.00, 2, white, Exit
21.01, 2, white, Entry
4.48, 1, yellow, Entry
4.58, 1, orange, Entry
4.00, 1, yellow, Exit
5.04, 3, yellow, Entry
4.00, 1, orange, Exit
5.06, 3, orange, Entry
5.00, 3, orange, Exit
6.01, 3, orange, Entry
5.00, 3, yellow, Exit
6.08, 3, yellow, Entry
6.00, 3, orange, Exit
7.01, 3, orange, Entry
6.00, 3, yellow, Exit
7.09, 3, yellow, Entry
7.00, 3, yellow, Exit
8.06, 3, yellow, Entry
7.00, 3, orange, Exit
8.06, 3, orange, Entry
8.00, 3, yellow, Exit
9.07, 3, yellow, Entry
8.00, 3, orange, Exit
9.07, 3, orange, Entry
9.00, 3, yellow, Exit
10.00, 3, yellow, Entry
9.00, 3, orange, Exit
10.02, 3, orange, Entry
10.00, 3, yellow, Exit
11.00, 3, yellow, Entry
10.00, 3, orange, Exit
11.00, 3, orange, Entry
11.00, 3, yellow, Exit
12.05, 3, yellow, Entry
11.00, 3, orange, Exit
12.05, 3, orange, Entry
12.00, 3, yellow, Exit
13.07, 3, yellow, Entry
12.00, 3, orange, Exit
13.08, 3, orange, Entry
13.00, 3, yellow, Exit
14.01, 3, yellow, Entry
13.00, 3, orange, Exit
14.03, 3, orange, Entry
14.00, 3, yellow, Exit
15.04, 3, yellow, Entry
14.00, 3, orange, Exit
15.06, 3, orange, Entry
15.00, 3, orange, Exit
16.01, 3, orange, Entry
15.00, 3, yellow, Exit
16.08, 3, yellow, Entry
16.00, 3, yellow, Exit
17.05, 3, yellow, Entry
16.00, 3, orange, Exit
17.06, 3, orange, Entry
17.00, 3, yellow, Exit
18.00, 3, yellow, Entry
17.00, 3, orange, Exit
18.00, 3, orange, Entry
18.00, 3, yellow, Exit
19.05, 3, yellow, Entry
18.00, 3, orange, Exit
19.05, 3, orange, Entry
19.00, 3, yellow, Exit
20.08, 3, yellow, Entry
